DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,WEALTH_QUINTILE:Wealth Quintile,SERIES_NAME:Series Name,SERIES_YEAR:Series Year,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REGIONAL_GROUP:Regional group,COUNTRY_NOTES:Country notes,CONNECTION:Connection,DEATH_CATEGORY:Death category,CATEGORY:Category,OBS_STATUS:Observation Status,UNIT_MEASURE:Unit of measure,SERIES_CATEGORY:Series Category,SERIES_TYPE:Series Type,STD_ERR:Standard Error,REF_DATE:Reference Date,AGE_GROUP_OF_WOMEN:Age Group of Women,TIME_SINCE_FIRST_BIRTH:Time Since First Birth,DEFINITION:Definition,INTERVAL:Interval,SERIES_METHOD:Series Method,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,STATUS:Status,YEAR_TO_ACHIEVE:Year to achieve,MODEL:Model Used
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1959-06,20.7560601374766,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1959.5,,,,1,,20.3516551082657,21.1651008032061,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1960-06,20.3365051920726,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1960.5,,,,1,,19.9528526950238,20.7213475197838,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1961-06,19.9124382822468,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1961.5,,,,1,,19.5323841643634,20.3011913258935,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1962-06,19.4914596064029,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1962.5,,,,1,,19.1241309380464,19.8601362338886,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1963-06,19.0872217003571,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1963.5,,,,1,,18.7310787713196,19.4535033225312,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1964-06,18.7412663102958,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1964.5,,,,1,,18.375685086732,19.1051885492312,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1965-06,18.4674256949414,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1965.5,,,,1,,18.1206747830636,18.8277885575346,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1966-06,18.2818917953594,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1966.5,,,,1,,17.9263207109557,18.6483732034727,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1967-06,18.1965195825886,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1967.5,,,,1,,17.8594181738015,18.5483194121942,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1968-06,18.1419199054336,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1968.5,,,,1,,17.8173030515283,18.4920794172678,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1969-06,18.0390811082938,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1969.5,,,,1,,17.7008221175454,18.3907439724619,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1970-06,17.8105734745185,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1970.5,,,,1,,17.4740981729222,18.1622219361942,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1971-06,17.4242549200412,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1971.5,,,,1,,17.0861663395486,17.7800112830755,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1972-06,16.8597378559044,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1972.5,,,,1,,16.5326874055653,17.1922918695793,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1973-06,16.1334015603406,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1973.5,,,,1,,15.8244782954251,16.4515720828989,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1974-06,15.286075849802,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1974.5,,,,1,,14.9899258970905,15.5851639905337,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1975-06,14.3687306958621,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1975.5,,,,1,,14.0991609671672,14.6397898575021,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1976-06,13.4617878155788,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1976.5,,,,1,,13.2044546498467,13.7245408232729,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1977-06,12.6359504180522,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1977.5,,,,1,,12.3916624369617,12.8778693031673,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1978-06,11.9080716494265,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1978.5,,,,1,,11.6751337174602,12.1350791294748,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1979-06,11.2935202030467,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1979.5,,,,1,,11.0712869038382,11.516511974886,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1980-06,10.7926739135988,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1980.5,,,,1,,10.5849963905004,11.0022561855241,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1981-06,10.390577493319,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1981.5,,,,1,,10.1879343983688,10.598493073079,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1982-06,10.076616319106,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1982.5,,,,1,,9.88543691439209,10.2709860482369,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1983-06,9.81667357360732,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1983.5,,,,1,,9.63530002278283,10.0052507433782,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1984-06,9.57920248629166,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1984.5,,,,1,,9.39834090329949,9.76804745085508,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1985-06,9.33581320019533,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1985.5,,,,1,,9.1634744553774,9.51422410355577,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1986-06,9.06669453255236,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1986.5,,,,1,,8.89417344000498,9.24810814435409,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1987-06,8.76246855261668,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1987.5,,,,1,,8.59764612522542,8.93396831134224,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1988-06,8.41231755174456,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1988.5,,,,1,,8.25660976218453,8.57843383434374,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1989-06,8.01466788211882,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1989.5,,,,1,,7.86003154262099,8.17501861532631,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1990-06,7.58023709757918,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1990.5,,,,1,,7.43421198948982,7.72323598410293,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1991-06,7.13743397178027,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1991.5,,,,1,,6.99971869996323,7.27602652072905,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1992-06,6.71649355817819,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1992.5,,,,1,,6.58881105765421,6.84216530122393,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1993-06,6.33760537046632,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1993.5,,,,1,,6.21768809684493,6.4598464576388,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1994-06,6.02037194408046,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1994.5,,,,1,,5.90379611203157,6.13971772945078,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1995-06,5.77301862596954,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1995.5,,,,1,,5.66362279245582,5.8826730882523,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1996-06,5.58119145089886,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1996.5,,,,1,,5.47249395032693,5.68736663626394,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1997-06,5.43401892219492,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1997.5,,,,1,,5.33148610664369,5.53655985813935,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1998-06,5.31621844121021,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1998.5,,,,1,,5.21663326552267,5.4186469846375,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1999-06,5.21227766523097,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1999.5,,,,1,,5.11339872880952,5.31432454926689,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2000-06,5.11272040396017,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2000.5,,,,1,,5.01774089960127,5.21164567962078,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2001-06,5.02578204732641,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2001.5,,,,1,,4.92544454786014,5.12749163208335,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2002-06,4.95884396139454,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2002.5,,,,1,,4.86136436486902,5.05799982502146,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2003-06,4.90389120904968,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2003.5,,,,1,,4.80884311169979,5.00091601916262,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2004-06,4.84202234608428,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2004.5,,,,1,,4.74536430695781,4.93732576101588,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2005-06,4.76258353365955,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2005.5,,,,1,,4.6695002130804,4.85514146518164,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2006-06,4.65626111301267,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2006.5,,,,1,,4.56508724483797,4.75145898902368,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2007-06,4.52123063397637,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2007.5,,,,1,,4.4343850213864,4.61352387282985,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2008-06,4.36107177431292,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2008.5,,,,1,,4.27559210386294,4.450534795806,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2009-06,4.18283082796616,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2009.5,,,,1,,4.1002038048431,4.26935853125539,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2010-06,3.99428187644213,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2010.5,,,,1,,3.91604789564472,4.07537777418781,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2011-06,3.80716687448183,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2011.5,,,,1,,3.72875777790163,3.8854379187055,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2012-06,3.63036717890897,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2012.5,,,,1,,3.55363250860888,3.70580770963186,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2013-06,3.47415393493509,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2013.5,,,,1,,3.40019760253629,3.54901833506875,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2014-06,3.35250695851572,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2014.5,,,,1,,3.27835649215883,3.42684843493022,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2015-06,3.26891234921216,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2015.5,,,,1,,3.19716564871113,3.33900756077696,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2016-06,3.21550236692899,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2016.5,,,,1,,3.14293999679036,3.28736136251493,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2017-06,3.18587512032077,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2017.5,,,,1,,3.11705782331162,3.25805131403965,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2018-06,3.17028930292352,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2018.5,,,,1,,3.09995210822806,3.24388658042926,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,2019-06,3.1582885512655,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,2019.5,,,,1,,3.07617535134493,3.24345269356697,,,B3: B3
